id,id,lat,lon,risk,risk_all_pois,risk_river,risk_elevation,river_dist,river_dist_normalized,RL,inside,has_edu,edu_type,is_road,is_river,urban_prob,elevation,slope,hrdiff
451,1939,41.14620625,-8.57771595744681,2.3523322102000055,1,0.6373650370849294,1.7149671731150762,3573.112277566404,0.32597483054368476,3,True,False,0,True,False,1,11,0.23333333333333334,0
452,1940,41.14620625,-8.576637234042552,1.9575119074880045,1,0.6363185940631532,1.3211933134248512,3537.479298173117,0.322724035853459,3,True,False,0,True,False,1,32,0.25555555555555554,20
453,1941,41.14620625,-8.575558510638297,1.9733201342538793,1,0.6373650370845062,1.335955097169373,3503.8171719122656,0.31965304198278927,3,True,False,0,True,False,1,32,0.24444444444444444,20
454,1942,41.14620625,-8.574479787234042,2.1674220944336504,1,1.0,1.1674220944336506,3472.1832203503873,0.31676707837494156,3,True,False,0,True,True,1,38,0.3111111111111111,0
455,1943,41.14620625,-8.573401063829786,1.7791305472849168,1,0.6373650370849294,1.1417655101999875,3442.6333539202874,0.3140712457355315,3,True,False,0,True,False,1,38,0.3333333333333333,0
456,1944,41.14620625,-8.572322340425531,2.4952190640912564,1,1.0,1.4952190640912566,3415.2216700740005,0.31157047937204174,3,True,False,0,False,True,0.55,26,0.2,0
457,1945,41.14620625,-8.571243617021276,2.4786974755127424,1,1.0,1.4786974755127422,3390.0000375174022,0.3092695112635691,3,True,False,0,False,True,0.55,26,0.2111111111111111,0
458,1946,41.14620625,-8.57016489361702,2.399141152475492,1,1.0,1.3991411524754922,3367.017672276927,0.30717283138541557,3,True,False,0,True,True,1,25,0.2777777777777778,0
459,1993,41.147021527777774,-8.671564893617022,3.1959530894807084,1,1.0,2.1959530894807084,9838.65663493843,0.8975800871099135,2,True,False,0,False,True,0.55,0,0.1111111111111111,0
460,1994,41.147021527777774,-8.670486170212767,3.19539862588323,1,1.0,2.19539862588323,9753.136112545424,0.8897780546996544,2,True,False,0,False,True,0.55,1,0.1,0
461,1995,41.147021527777774,-8.669407446808512,2.921354302036552,1,1.0,1.9213543020365524,9667.704485330241,0.8819841321914293,2,True,False,0,False,True,0.55,1,0.23333333333333334,0
462,1996,41.147021527777774,-8.668328723404256,2.921839553783446,1,1.0,1.9218395537834463,9582.364130943259,0.8741985364981472,2,True,False,0,False,True,0.55,0,0.24444444444444444,0
463,1997,41.147021527777774,-8.667250000000001,2.921839553783446,1,1.0,1.9218395537834463,9497.117509909287,0.866421492093347,2,True,False,0,True,True,1,0,0.24444444444444444,0
464,1998,41.147021527777774,-8.666171276595746,2.922324928084133,1,1.0,1.922324928084133,9411.96716914386,0.8586532313319886,2,True,False,0,False,True,0.55,-1,0.25555555555555554,0
465,1999,41.147021527777774,-8.66509255319149,2.701164695219485,1,1.0,1.7011646952194848,9326.915745640645,0.8508939947868547,3,True,False,0,False,True,0.55,-1,0.37777777777777777,0
466,2000,41.147021527777774,-8.664013829787235,2.338533301637768,1,0.6373686064182834,1.7011646952194848,9241.965970343506,0.8431440316017994,3,True,False,0,False,False,0.55,-1,0.37777777777777777,0
467,2001,41.147021527777774,-8.66293510638298,2.701164695219485,1,1.0,1.7011646952194848,9157.120672209341,0.8354035998623999,3,True,False,0,False,True,0.55,-1,0.37777777777777777,0
468,2002,41.147021527777774,-8.661856382978725,2.701594336509086,1,1.0,1.701594336509086,9072.3827824763,0.8276729669853465,3,True,False,0,True,True,1,-2,0.3888888888888889,0
469,2003,41.147021527777774,-8.66077765957447,2.5742640272615263,1,1.0,1.5742640272615263,8987.755339144824,0.8199524101272475,3,True,False,0,True,True,1,-2,0.4666666666666667,0
470,2004,41.147021527777774,-8.659698936170214,2.5718805848295476,1,1.0,1.5718805848295476,8903.241491687424,0.8122422166143014,3,True,False,0,True,True,1,4,0.4,0
471,2005,41.147021527777774,-8.658620212765959,2.5718805848295476,1,1.0,1.5718805848295476,8818.84450599594,0.8045426843936355,3,True,False,0,True,True,1,4,0.4,0
472,2006,41.147021527777774,-8.657541489361703,2.572277574494019,1,1.0,1.5722775744940194,8734.567769583746,0.7968541225079031,3,True,False,0,True,True,1,3,0.4111111111111111,0
473,2007,41.147021527777774,-8.656462765957448,2.9001240849706016,1,1.0,1.9001240849706016,8650.414797053176,0.7891768515940758,2,True,False,0,True,True,1,1,0.24444444444444444,0
474,2008,41.147021527777774,-8.655384042553193,3.099961879444609,1,1.0,2.099961879444609,8566.38923584726,0.7815112044081745,2,True,False,0,False,True,0.55,1,0.14444444444444443,0
475,2009,41.147021527777774,-8.654305319148937,3.101022734122455,1,1.0,2.101022734122455,8482.494872297822,0.7738575263770368,2,True,False,0,False,True,0.55,-1,0.16666666666666666,0
476,2010,41.147021527777774,-8.65322659574468,2.922324928084133,1,1.0,1.922324928084133,8398.735637990723,0.7662161761790179,2,True,False,0,False,True,0.10000000000000003,-1,0.25555555555555554,0
477,2011,41.147021527777774,-8.652147872340425,2.922324928084133,1,1.0,1.922324928084133,8315.11561646299,0.7585875263549696,2,True,False,0,False,True,0.55,-1,0.25555555555555554,0
478,2012,41.147021527777774,-8.65106914893617,2.922324928084133,1,1.0,1.922324928084133,8231.639050252952,0.7509719639514228,2,True,False,0,True,True,1,-1,0.25555555555555554,0
479,2013,41.147021527777774,-8.649990425531914,2.559693534501993,1,0.6373686064178601,1.922324928084133,8148.310348321992,0.7433698911976749,3,True,False,0,False,False,0.55,-1,0.25555555555555554,0
480,2014,41.147021527777774,-8.64891170212766,2.692216895999753,1,0.6373686064178601,2.054848289581893,8065.1340938713565,0.7357817262189156,3,True,True,1,True,False,1,-1,0.18888888888888888,0
481,2015,41.147021527777774,-8.647832978723404,3.054848289581893,1,1.0,2.054848289581893,7982.115052573291,0.7282079037871537,2,True,False,0,False,True,0.55,-1,0.18888888888888888,0
482,2016,41.147021527777774,-8.646754255319149,2.691179355860861,1,0.6373686064182834,2.0538107494425777,7899.258181244151,0.7206488761124645,3,True,False,0,False,False,0.10000000000000003,1,0.16666666666666666,1
