set,min_dissim,mean_dissim,max_jaccard_top,mean_jaccard_top,mean_abs_diff
"('S04', 'S06', 'S11', 'S12')",0.1594487297744317,0.4263470756685047,0.6976744186046512,0.3234400763760851,0.18399021218990144
"('S02', 'S04', 'S08', 'S11')",0.1594487297744317,0.42410443677747056,0.6976744186046512,0.33182788246203326,0.16502279818558854
"('S01', 'S04', 'S06', 'S11')",0.1594487297744317,0.4214937958594056,0.6976744186046512,0.25414473962302847,0.15429541507618993
"('S04', 'S06', 'S09', 'S11')",0.1594487297744317,0.42005101137258194,0.6976744186046512,0.32417574924226916,0.18704184466841522
"('S03', 'S04', 'S06', 'S11')",0.1594487297744317,0.4098315465621093,0.6976744186046512,0.31861991680026835,0.1680626669739365
"('S02', 'S04', 'S07', 'S11')",0.1594487297744317,0.3991787073182709,0.6976744186046512,0.27261752678343226,0.14317656784095634
"('S02', 'S04', 'S11', 'S12')",0.1594487297744317,0.38772989757909204,0.6976744186046512,0.34023120524611056,0.17097814145834178
"('S02', 'S04', 'S09', 'S11')",0.1594487297744317,0.3725110103419661,0.6976744186046512,0.34098043490833635,0.1740228299530513
"('S01', 'S02', 'S04', 'S11')",0.1594487297744317,0.36880770549914776,0.6976744186046512,0.2816536681494945,0.14092473208975034
"('S02', 'S03', 'S04', 'S11')",0.1594487297744317,0.3583943965068148,0.6976744186046512,0.33476362167505175,0.15679336560187968
"('S04', 'S07', 'S08', 'S11')",0.1594487297744317,0.3546512631018961,0.6976744186046512,0.38534071724599933,0.10928920559538409
"('S01', 'S04', 'S08', 'S11')",0.1594487297744317,0.34276369859718747,0.6976744186046512,0.39490016109138754,0.09804461430452856
"('S03', 'S04', 'S07', 'S11')",0.1594487297744317,0.3360726920123811,0.6976744186046512,0.3710563819171693,0.1363869754737861
"('S03', 'S04', 'S08', 'S11')",0.1594487297744317,0.33275196095628967,0.6976744186046512,0.49572779799365435,0.1563123442386343
"('S04', 'S07', 'S11', 'S12')",0.1594487297744317,0.32671500067691295,0.6976744186046512,0.38899820796176376,0.11520499416708453
"('S04', 'S07', 'S09', 'S11')",0.1594487297744317,0.3187890009523394,0.6976744186046512,0.3897708340044151,0.1182994267129579
"('S01', 'S04', 'S11', 'S12')",0.1594487297744317,0.3014524860110356,0.6976744186046512,0.40101482225054125,0.1033104362696211
"('S01', 'S03', 'S04', 'S11')",0.1594487297744317,0.2966818659446915,0.6976744186046512,0.3807123570030948,0.1337480488828309
"('S03', 'S04', 'S11', 'S12')",0.1594487297744317,0.2907173743471153,0.6976744186046512,0.5025632726187571,0.1622676875113875
"('S01', 'S04', 'S09', 'S11')",0.1594487297744317,0.28499729412327623,0.6976744186046512,0.40200346324843433,0.10639577161785342
"('S03', 'S04', 'S09', 'S11')",0.1594487297744317,0.2699945906313358,0.6976744186046512,0.5038739308903094,0.16529841898193506
"('S06', 'S08', 'S09', 'S11')",0.13540325904987094,0.38286393576761124,0.7853260869565217,0.31476680031192233,0.19359593428084118
"('S04', 'S06', 'S08', 'S09')",0.13540325904987094,0.37697208739962773,0.7853260869565217,0.38135569145472803,0.1919023424447968
"('S02', 'S08', 'S09', 'S11')",0.13540325904987094,0.3685737560779917,0.7853260869565217,0.3298026929912133,0.18046464199336051
"('S02', 'S04', 'S08', 'S09')",0.13540325904987094,0.35454701170054526,0.7853260869565217,0.39771955242632523,0.17847672499694278
"('S05', 'S06', 'S08', 'S09')",0.13540325904987094,0.34340393271756653,0.7853260869565217,0.3801307049862324,0.19403592692462068
"('S02', 'S05', 'S08', 'S09')",0.13540325904987094,0.3360070643707336,0.7853260869565217,0.39610590850547434,0.18082866299037845
"('S03', 'S06', 'S08', 'S09')",0.13540325904987094,0.3250829093477212,0.7853260869565217,0.3292863338299776,0.2269058021129583
