set,min_dissim,mean_dissim,max_jaccard_top,mean_jaccard_top,mean_abs_diff,table,n_candidates,min_cri_iqr
"('S02', 'S10', 'S13', 'S14')",0.057976932218684274,0.1657195341917208,0.7901907356948229,0.6943598226853825,0.07803517612058432,T2g,12,0.20303061349854445
"('S02', 'S10', 'S13', 'S15')",0.09382142999755116,0.16364835580778647,0.7732793522267206,0.7041473798153833,0.07956630695256468,T2g,12,0.20785747670623045
"('S02', 'S10', 'S14', 'S15')",0.07907639448750281,0.1488822853660966,0.8664772727272727,0.7182281321272614,0.07445948394862564,T2g,12,0.20303061349854445
"('S02', 'S11', 'S13', 'S14')",0.057976932218684274,0.18120956182767056,0.7901907356948229,0.6714655307796146,0.07922123502317918,T2g,12,0.20303061349854445
"('S02', 'S11', 'S13', 'S15')",0.10189301887945468,0.17387693879484412,0.7450199203187251,0.6789323139333067,0.08076227324479616,T2g,12,0.20785747670623045
"('S02', 'S11', 'S14', 'S15')",0.07907639448750281,0.15719294650822446,0.8664772727272727,0.6999007659144229,0.07586402210670738,T2g,12,0.20303061349854445
"('S02', 'S13', 'S14', 'S15')",0.057976932218684274,0.12735739331545004,0.8664772727272727,0.7393951954059202,0.0549824559227871,T2g,12,0.20303061349854445
"('S04', 'S05', 'S06', 'S08')",0.03060321686782408,0.08258244111951074,0.9670658682634731,0.7820992969676935,0.04099733571309181,T2g,12,0.20495139918266808
"('S04', 'S05', 'S06', 'S09')",0.03060321686782408,0.10128282005336331,0.9670658682634731,0.7698395693408137,0.04893654563998683,T2g,12,0.20495139918266808
"('S04', 'S05', 'S06', 'S10')",0.03060321686782408,0.1413285058139745,0.9670658682634731,0.7583772815298028,0.07132667317200807,T2g,12,0.20495139918266808
"('S04', 'S05', 'S06', 'S11')",0.03060321686782408,0.14716904663481356,0.9670658682634731,0.7209217910948142,0.07203898726093207,T2g,12,0.20495139918266808
"('S04', 'S05', 'S06', 'S13')",0.03060321686782408,0.09918421223772267,0.9670658682634731,0.78608257264146,0.04375259938560921,T2g,12,0.20495139918266808
"('S04', 'S05', 'S06', 'S14')",0.03060321686782408,0.10261804267862529,0.9670658682634731,0.7658533249559235,0.045376866670989786,T2g,12,0.20303061349854445
"('S04', 'S05', 'S06', 'S15')",0.03060321686782408,0.10143435735411443,0.9670658682634731,0.7698395693408137,0.04791335342001799,T2g,12,0.20495139918266808
"('S04', 'S05', 'S08', 'S09')",0.03060321686782408,0.0834848142177319,0.9670658682634731,0.8083900881690619,0.0442995231625928,T2g,12,0.20882382673839628
"('S04', 'S05', 'S08', 'S10')",0.03060321686782408,0.11439537263586974,0.9670658682634731,0.804375106688533,0.06571375773758159,T2g,12,0.20882382673839628
"('S04', 'S05', 'S08', 'S11')",0.03060321686782408,0.12085683500226241,0.9670658682634731,0.7671486271766262,0.06647535932367613,T2g,12,0.20882382673839628
"('S04', 'S05', 'S08', 'S13')",0.03060321686782408,0.09504698650044141,0.9670658682634731,0.8356791364740223,0.04267015130064513,T2g,12,0.20882382673839628
"('S04', 'S05', 'S08', 'S14')",0.03060321686782408,0.09401742885228292,0.9670658682634731,0.8014323636601105,0.04204293347925634,T2g,12,0.20303061349854445
"('S04', 'S05', 'S08', 'S15')",0.03060321686782408,0.08370690598835695,0.9670658682634731,0.8083900881690619,0.04342986098265739,T2g,12,0.20882382673839628
"('S04', 'S05', 'S09', 'S10')",0.03060321686782408,0.110834831687737,0.9670658682634731,0.8057086529399083,0.06579793159883278,T2g,12,0.20882382673839628
"('S04', 'S05', 'S09', 'S11')",0.03060321686782408,0.11707751484627582,0.9670658682634731,0.7714080624508551,0.06658179453569953,T2g,12,0.20882382673839628
"('S04', 'S05', 'S09', 'S13')",0.03060321686782408,0.09507471851740279,0.9670658682634731,0.8441850838501054,0.04585044263911698,T2g,12,0.20882382673839628
"('S04', 'S05', 'S09', 'S14')",0.03060321686782408,0.08401289994561001,0.9670658682634731,0.8357420061906797,0.043234334046146794,T2g,12,0.20303061349854445
"('S04', 'S05', 'S09', 'S15')",0.0002668978058465443,0.07276991468582839,0.9878971255673222,0.8469576550980417,0.03908188398590761,T2g,12,0.20882382673839628
"('S04', 'S05', 'S10', 'S11')",0.03060321686782408,0.1328963622445949,0.9670658682634731,0.7985330963610169,0.07597491970516396,T2g,12,0.20882382673839628
"('S04', 'S05', 'S10', 'S13')",0.03060321686782408,0.12775709539189595,0.9670658682634731,0.8541767389738358,0.06899479283499996,T2g,12,0.20882382673839628
"('S04', 'S05', 'S10', 'S14')",0.03060321686782408,0.12016394249611506,0.9670658682634731,0.8099114387462136,0.06653083618872228,T2g,12,0.20303061349854445
"('S04', 'S05', 'S10', 'S15')",0.03060321686782408,0.11114425570419995,0.9670658682634731,0.8068240005990365,0.06562885751351442,T2g,12,0.20882382673839628
"('S04', 'S05', 'S11', 'S13')",0.03060321686782408,0.14107482812486516,0.9670658682634731,0.8145497181068576,0.06947931651337812,T2g,12,0.20882382673839628
"('S04', 'S05', 'S11', 'S14')",0.03060321686782408,0.1315637533841545,0.9670658682634731,0.7771721175484733,0.06722393173295069,T2g,12,0.20303061349854445
"('S04', 'S05', 'S11', 'S15')",0.03060321686782408,0.11728262194334726,0.9670658682634731,0.7717639054249874,0.06633186044737945,T2g,12,0.20882382673839628
"('S04', 'S05', 'S13', 'S14')",0.03060321686782408,0.07941434530287594,0.9670658682634731,0.8602920434024931,0.038448615274255964,T2g,12,0.20303061349854445
"('S04', 'S05', 'S13', 'S15')",0.03060321686782408,0.09540245921472135,0.9670658682634731,0.843799358845614,0.04478826293018821,T2g,12,0.20882382673839628
"('S04', 'S05', 'S14', 'S15')",0.03060321686782408,0.08436789148399948,0.9670658682634731,0.8352995032810715,0.04233562869825478,T2g,12,0.20303061349854445
"('S04', 'S06', 'S08', 'S09')",0.07877395590347114,0.10619075893324592,0.8377622377622378,0.7662668168726628,0.05088534818625482,T2g,12,0.20495139918266808
"('S04', 'S06', 'S08', 'S10')",0.07877395590347114,0.14152477621650084,0.8377622377622378,0.7422557652550669,0.07108533754098284,T2g,12,0.20495139918266808
"('S04', 'S06', 'S08', 'S11')",0.07877395590347114,0.14751371925117462,0.8377622377622378,0.7109135918862807,0.07211755226295792,T2g,12,0.20495139918266808
